"id","n","data_q","fit_q","algo","rep","logZ","eps","iters","secs","status"
"n030_d2_f2_abc_r01",30,2,2,"ABC-SMC",1,-17.6918434440386,1,13,15.8522388935089,"ok"
"n030_d2_f2_abc_r02",30,2,2,"ABC-SMC",2,-19.9962643613329,1,12,15.1210808753967,"ok"
"n030_d2_f2_abc_r03",30,2,2,"ABC-SMC",3,-20.1575282234534,1,11,15.0731289386749,"ok"
"n030_d2_f2_abc_r04",30,2,2,"ABC-SMC",4,-20.0104538952422,1,11,15.0928480625153,"ok"
"n030_d2_f2_abc_r05",30,2,2,"ABC-SMC",5,-21.0375320127905,1,11,15.046135187149,"ok"
"n030_d2_f2_abc_r06",30,2,2,"ABC-SMC",6,-19.4523378121322,1,12,18.2232708930969,"ok"
"n030_d2_f2_abc_r07",30,2,2,"ABC-SMC",7,-20.4504025403636,1,11,16.4093210697174,"ok"
"n030_d2_f2_abc_r08",30,2,2,"ABC-SMC",8,-18.8246304571525,1,13,16.7157120704651,"ok"
"n030_d2_f2_abc_r09",30,2,2,"ABC-SMC",9,-20.1958401359641,1,11,18.4164109230042,"ok"
"n030_d2_f2_abc_r10",30,2,2,"ABC-SMC",10,-20.2702891025399,1,11,15.174026966095,"ok"
"n030_d2_f2_abc_r11",30,2,2,"ABC-SMC",11,-19.2091641646991,1,12,18.1192178726196,"ok"
"n030_d2_f2_abc_r12",30,2,2,"ABC-SMC",12,-20.3430349663901,1,11,14.6163868904114,"ok"
"n030_d2_f2_abc_r13",30,2,2,"ABC-SMC",13,-20.4840701945629,1,11,14.0919198989868,"ok"
"n030_d2_f2_abc_r14",30,2,2,"ABC-SMC",14,-20.4184813636239,1,11,15.4104979038239,"ok"
"n030_d2_f2_abc_r15",30,2,2,"ABC-SMC",15,-19.1335176299385,1,12,15.3226420879364,"ok"
"n030_d2_f2_abc_r16",30,2,2,"ABC-SMC",16,-20.2919458895627,1,12,18.9254319667816,"ok"
"n030_d2_f2_abc_r17",30,2,2,"ABC-SMC",17,-19.6308730358903,1,12,18.7388038635254,"ok"
"n030_d2_f2_abc_r18",30,2,2,"ABC-SMC",18,-20.3358057191823,1,11,18.3332679271698,"ok"
"n030_d2_f2_abc_r19",30,2,2,"ABC-SMC",19,-20.3055177522258,1,11,19.2165839672089,"ok"
"n030_d2_f2_abc_r20",30,2,2,"ABC-SMC",20,-20.0242186719298,1,11,14.6085529327393,"ok"
"n030_d2_f2_abc_r21",30,2,2,"ABC-SMC",21,-19.2002633498001,1,12,14.7266409397125,"ok"
"n030_d2_f2_abc_r22",30,2,2,"ABC-SMC",22,-20.7131540680911,1,11,19.8325939178467,"ok"
"n030_d2_f2_abc_r23",30,2,2,"ABC-SMC",23,-18.3505166533336,1,12,19.7614138126373,"ok"
"n030_d2_f2_abc_r24",30,2,2,"ABC-SMC",24,-20.1603364093267,1,11,19.1079099178314,"ok"
"n030_d2_f2_abc_r25",30,2,2,"ABC-SMC",25,-19.9601901050873,1,12,15.9299578666687,"ok"
"n030_d2_f2_abc_r26",30,2,2,"ABC-SMC",26,-19.9853773246867,1,12,15.1048979759216,"ok"
"n030_d2_f2_abc_r27",30,2,2,"ABC-SMC",27,-19.3453447872297,1,12,19.0600638389587,"ok"
"n030_d2_f2_abc_r28",30,2,2,"ABC-SMC",28,-21.0198480212961,1,11,17.2521710395813,"ok"
"n030_d2_f2_abc_r29",30,2,2,"ABC-SMC",29,-20.454081394584,1,11,20.4183690547943,"ok"
"n030_d2_f2_abc_r30",30,2,2,"ABC-SMC",30,-20.2368725885089,1,12,20.0171101093292,"ok"
"n030_d2_f2_reg_r01",30,2,2,"RE-gaussian",1,-19.6687040695427,1,6,17.7426581382751,"ok"
"n030_d2_f2_reg_r02",30,2,2,"RE-gaussian",2,-19.8339444898473,1,7,19.7746829986572,"ok"
"n030_d2_f2_reg_r03",30,2,2,"RE-gaussian",3,-19.7418936594677,1,7,19.7661237716675,"ok"
"n030_d2_f2_reg_r04",30,2,2,"RE-gaussian",4,-19.7664352543529,1,7,19.9181580543518,"ok"
"n030_d2_f2_reg_r05",30,2,2,"RE-gaussian",5,-19.712023197895,1,6,17.6483459472656,"ok"
"n030_d2_f2_reg_r06",30,2,2,"RE-gaussian",6,-19.7393269155684,1,7,22.7118039131165,"ok"
"n030_d2_f2_reg_r07",30,2,2,"RE-gaussian",7,-19.7668803709261,1,6,22.1099619865417,"ok"
"n030_d2_f2_reg_r08",30,2,2,"RE-gaussian",8,-19.6400802918446,1,7,22.6493701934814,"ok"
"n030_d2_f2_reg_r09",30,2,2,"RE-gaussian",9,-19.7552536658692,1,7,23.5982909202576,"ok"
"n030_d2_f2_reg_r10",30,2,2,"RE-gaussian",10,-19.6317390941078,1,6,23.4069240093231,"ok"
"n030_d2_f2_reg_r11",30,2,2,"RE-gaussian",11,-19.6443740144581,1,6,21.7306499481201,"ok"
"n030_d2_f2_reg_r12",30,2,2,"RE-gaussian",12,-19.7640201369951,1,7,24.4904098510742,"ok"
"n030_d2_f2_reg_r13",30,2,2,"RE-gaussian",13,-19.7374545964071,1,7,21.1159429550171,"ok"
"n030_d2_f2_reg_r14",30,2,2,"RE-gaussian",14,-19.6603048838515,1,6,19.2387471199036,"ok"
"n030_d2_f2_reg_r15",30,2,2,"RE-gaussian",15,-19.7589441121807,1,7,20.0727860927582,"ok"
